state continent pop gdp_pc v2x_polyarchy slavery_legal military_type government tax_income state_expenditure military_expenditure army_size v2x_corruption v2x_centralization v2x_inequality v2x_participation ethnic_groups ethn_diversity ethn_exclusion relig_diversity relig_exclusion civil_wars_100y coups_100y regime_trans_100y military_alliances trade_agreements pitf_stability pitf_pt civil_wars_10y humanitarian_aid_received humanitarian_aid_given gdp_tot non_coup_transitions peaceful_transition wdi_seced wdi_imr v2x_mediaindep v2x_judindep v2x_defamation any_civilwar paid_soldiers military_quality v2x_execonst
Meereen Essos 166625 18096.359100458852 0.29 1 freedmen military 796.4885530464126 244.15647698604312 136.0438769998476 6459 0.2325157394622708 0.00919705161662964 0.686953399326141 0.4917465257403479 19 0.25001644921610466 70.58314838786946 0.35024671994869105 3.2315951109650456 2.8152197077792622 3 5 3 3 70 5 1 0 70.62593300415853 3015.3058351139566 2 0 0.13631424138336606 197.86914007573088 0.6182693727104283 0.5132183529573101 1 1 0 -0.6539843997856934 0.04426115837301584
"The Wall" Westeros 3401 3795.9879051252287 0.11 1 volunteers military 1.2758183135898074 1.5310669299402468 0.7949988135222852 338 0.9558205245371756 0.10147154286603216 0.9684983821281228 0.2398837342662497 11 0.5805440123439098 96.86519439741348 0.6007609642409908 78.9708401096421 1.8684198457543308 8 8 0 0 100 5 5 434.2933272113795 668.7898382183546 12.910154865330902 0 1 NA NA 0.11394754363202653 0.5258378900384788 1 1 0 -0.9708483995460208 0.00768529127303458
"Beyond the Wall" Westeros 13400 5644.875378050045 0.11 1 wildlings tribal 11.5164399286841 4.979434804256805 2.9932810061492297 500 0.15802311246419629 0.03811815379556543 0.21542074095915317 0.1861822824340164 5 0.8671166072097221 68.8030010175039 0.8624369772762848 44.15495234339803 2.03958290492139 3 4 0 0 90 6 2 330.19751831706526 751.6265651695059 75.6413300658706 1 0 NA 215.38995019791292 0.4008413098003073 0.4832357388141229 1 1 0 -0.9848762354840254 0.0042833393295147
Skagos Westeros 16724 16907.611227372778 0.25 0 levies tribal 50.39588128809739 46.3351151132439 19.50556078129642 951 0.15490431510933309 0.1566729780164413 0.16920855642011096 0.4430741811761563 12 0.5618666921437736 83.69638742373738 0.5959451911534467 72.89473008762154 2.3608079682880665 12 16 2 4 58 5 4 0 136.71840440390974 282.76289016658234 4 1 NA 186.31338074351865 0.7256545971285213 0.7343408495863567 0 1 0 -0.9344845519812288 0.17843431192513545
Qarth Essos 267258 21729.780406829606 0.37 1 mercenaries republic 1217.3853744844505 1080.4022976521646 475.1353672148566 20125 0.5492149598715304 0.16080805141749863 0.7264706376543013 0.5578614224812479 2.999999999999999 0.2385968597903402 86.68687053108414 0.354674977455566 0.6835982413498627 3.7307335862945616 2 3 4 3 92 5 5 0 485.35412043345906 5807.457651968467 1 1 0.13510615764772424 121.15470080702713 0.6082170674221588 0.6770791679822149 0 1 1 0.9108714939813648 0.02892892186838054
Ibben Essos 199834 13840.17709138706 0.36 1 professional monarchy 898.343730984627 400.9550075431531 151.52156371093906 8266 0.1935275564469163 0.5487337893665861 0.5357412582735881 0.636907392859028 1 0.6798447799002458 83.84807637639851 0.7064026690166165 53.17559147950007 8.519162582421815 6 14 3 0 1 3 0 735.4947432122699 285.9589034771559 2765.7379488802417 8 1 NA 161.90285048039493 0.5843003948235395 0.7093244927524084 0 0 1 0.5359996920450341 0.12631316622296318
Leng Essos 133149 30916.21636340672 0.61 1 professional theocracy 493.5055927888762 1399.8368020888563 163.11238911956028 13605 0.00212597645687621 0.6918951976926933 0.00134337048931241 0.950075423545329 1 0.7399087604473745 42.609147504694114 0.7344284017672226 7.620037959916317 2.7595004551091677 4 5 5 3 98 1 0 0 620.7118472658261 4116.463292571241 1 0 0.8153028686780376 186.24612931148303 0.9152820672872336 0.5651097905583298 0 0 1 0.6066228947299535 0.30030077487615353
Naath Essos 66920 18837.675830433487 0.52 1 volunteers tribal 289.91934757429414 220.43615456663557 37.50267678678566 6775 0.01672003087779603 0.23099806592958325 0.01648998240545514 0.8364223165124951 8 0.2382361524039794 22.257641757103052 0.3896239938329762 94.05318271353836 3.993269535141057 10 13 5 1 50 2 0 0 787.1139448583609 1260.617266572609 3 1 0.5485121129870832 110.8082660436662 0.8420442889817733 0.8002377459340693 0 0 0 -0.8350893226461993 0.5443913177645124
Sothoryos Essos 50096 9872.70076321144 0.23 1 tribal theocracy 127.27846416651698 73.36002433214476 8.834672220581384 1512 0.8998540427405483 0.22426930946055976 0.7859084258385556 0.5694904265294358 10 0.37772888617629485 39.66516019542519 0.5049682675341404 41.66390577384792 2.3694982015148174 3 8 1 2 73 3 0 322.13920042279926 769.9916569787974 494.58281743384026 5 1 0.10874954018787396 184.0197459441126 0.32352833235541295 0.5542879749968385 1 0 0 -0.9868378172736691 0.04039363354975574
"Yi Ti" Essos 399920 17715.735668475674 0.61 1 professional monarchy 469.4272618177744 1699.9711011936354 873.2186600900325 21886 0.3395993185351114 0.7121792213475359 0.7539379959194825 0.8863228379309106 11 0.5343274735305634 89.18969087767766 0.6620151398850944 51.84109338179957 1.8991952714639284 0 2 3 0 83 3 0 0 930.111181127582 7084.877008536791 2 1 0.1547534214712313 162.38238576024256 0.6202008608985667 0.7138815304917346 0 0 1 0.9467617368121486 0.2035798519793069
Asshai Essos 23339 17246.735946857112 0.16 1 mercenaries military 105.71854624073244 39.97984262694756 22.885975685579243 819 0.7636851964364637 0.23724908749680004 0.5610187639078922 0.3917058479587438 12 0.4965611906830777 14.660482169202552 0.4639906242616986 91.91765518355596 7.082999684656269 4 9 5 4 72 4 1 0 823.350301238828 402.52157026369815 5 1 0.15430468408612583 113.83683250742352 0.42899409531686633 0.5689798696370466 0 1 1 -0.03526720889802026 0.06160553732027386
Mantarys Essos 26750 10374.882671118665 0.18 1 slaves military 30.440238874025987 91.7976801511481 49.598775115798915 896 0.46508308100243834 0.3253996981592677 0.6681388826551503 0.1607362465147888 13 0.38961808621920346 51.33261686923929 0.4726449755535985 8.274842003530615 5.793286363934536 6 13 1 1 54 4 5 610.1333917799277 465.1347746096478 277.5281114524243 7 1 0.18563665569610951 123.63886414910078 0.5043581894552867 0.6346498150426396 0 1 0 -0.7049262007752826 0.01311788186128826
"New Ghis" Essos 166266 14297.265070732929 0.18 0 professional republic 172.98052062774076 180.8837514753747 124.79499368360672 1445 0.7661736838430836 0.7464914051180241 0.9451038677327994 0.1980637848570933 12 0.2976351745093109 23.322807242452782 0.33802998275495455 3.767953017623114 3.351251637783633 9 18 4 3 48 6 4 0 245.02451105547848 2377.1490742504807 9 0 NA 51.320524150701345 0.3701582469582963 0.2769944584493739 1 1 1 0.5082844507773978 0.06727920728426913
Ghiscar Essos 183065 15470.197243896246 0.26 0 professional military 1082.15508373411 1119.8227578497758 820.1855261780685 12074 0.9930696993711992 0.6496328990472147 0.9782267399395134 0.36832636734845026 14 0.09998488716186338 58.13054172267823 0.15517479382918847 55.158787254407 3.1439999041229525 7 11 1 5 84 3 2 0 517.7703980467171 2832.051658453866 4 1 NA 169.53547202047173 0.3875171274402907 0.4855325023658108 0 1 1 0.8243119617366519 0.08185625839224019
"The Basilisk Isles" Essos 99924 13484.20287783663 0.27 1 pirates tribal 522.750660093114 431.55146574055846 158.27102534215436 5523 0.816604163716864 0.06474630824905292 0.8488176930306469 0.386936051974518 2 0.0534852967473689 86.31385219890039 0.13187552101971872 16.483426113700094 5.393275299821687 16 26 5 1 21 5 2 433.5829863225972 699.1865815993049 1347.3954883649474 10 0 NA NA 0.20776934555871243 0.3591679467496502 1 1 0 -0.6019254396272904 0.07341289177588226
"The Summer Isles" Sothoryos 83317 16139.157027958638 0.55 0 professional republic 447.6918986177049 160.75549468517897 95.0238975422026 845 0.9503426201905336 0.6576128923003434 0.6553746137027661 0.8832133461758105 19 0.9585414968831985 88.03599686384167 0.8961749231956095 34.5857198584456 3.1616062961204907 7 7 2 0 97 1 5 0 350.624198715323 1344.66614609843 0 1 0.2077083666934432 27.124830558335503 0.330464387282415 0.5673017959997075 0 1 1 0.1344505473206694 0.3652979574129285
